날짜,순위,팀명,경기,승,패,무,승률,최근10경기
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
2025.10.04,2,한화,144,83,57,4,0.593,5승1무4패
2025.10.04,3,SSG,144,75,65,4,0.536,6승0무4패
2025.10.04,4,삼성,144,74,68,2,0.521,7승0무3패
2025.10.04,5,NC,144,71,67,6,0.514,9승0무1패
2025.10.04,6,KT,144,71,68,5,0.511,5승1무4패
2025.10.04,7,롯데,144,66,72,6,0.478,2승0무8패
2025.10.04,8,KIA,144,65,75,4,0.464,4승0무6패
2025.10.04,9,두산,144,61,77,6,0.442,5승0무5패
2025.10.04,10,키움,144,47,93,4,0.336,3승0무7패
2025.10.04,1,LG,144,85,56,3,0.603,4승0무6패
